v1,v2
ham,Your Google verification code is 63238. Never share.
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx Urgent! Click now or lose access. http://secure-link810.in
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx http://secure-link903.in
spam,Your device has virus. Install this app to clean
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242 Urgent! Click now or lose access. http://secure-link823.in
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifyUnion
spam,Your bank account needs urgent KYC update else blocked in 24hrs. Link: securebankSBI.in http://secure-link821.in
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
ham,Flipkart: Your package will arrive tomorrow.
ham,Amazon order #AMZ56904 delivered successfully. Rate now.
ham,Airtel Thanks: Bill paid Rs.499.
spam,Work from home job ₹2000/day. Send Rs.499 registration: whatsapp.me/jobSBI http://secure-link889.in
ham,Amazon order #AMZ35463 delivered successfully. Rate now.
ham,Happy Birthday bhai 🎉
ham,Bro where are you?
spam,Work from home job ₹2000/day. Send Rs.499 registration: whatsapp.me/jobSBI Urgent! Click now or lose access. http://secure-link161.in
ham,Flipkart: Your package will arrive tomorrow.
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxSBI Urgent! Click now or lose access.
ham,Airtel Thanks: Bill paid Rs.499.
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,Your Google verification code is 76261. Never share.
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx
ham,Your Google verification code is 61398. Never share.
spam,"Dear customer, your Union account will be blocked today. Update KYC immediately: bit.ly/515. Do not ignore! Urgent! Click now or lose access."
ham,Flipkart: Your package will arrive tomorrow.
ham,Amazon order #AMZ83345 delivered successfully. Rate now.
ham,UPI payment successful Rs.299
ham,Airtel Thanks: Bill paid Rs.499.
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242
ham,Your Google verification code is 7177. Never share.
ham,Airtel Thanks: Bill paid Rs.499.
ham,Happy Birthday bhai 🎉
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,Airtel Thanks: Bill paid Rs.499.
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxAxis http://secure-link554.in
ham,Your Google verification code is 33455. Never share.
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx Urgent! Click now or lose access.
spam,Electricity bill overdue Rs.Union. Pay now or power cut: pay.bill770.in Urgent! Click now or lose access. http://secure-link975.in
spam,Amazon delivery failed. Call 1800SBI or order cancelled.
spam,"Dear customer, your SBI account will be blocked today. Update KYC immediately: bit.ly/632. Do not ignore!"
spam,Amazon delivery failed. Call 1800Union or order cancelled. Urgent! Click now or lose access. http://secure-link119.in
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,Your bank account needs urgent KYC update else blocked in 24hrs. Link: securebankHDFC.in Urgent! Click now or lose access.
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242
spam,Papa accident. Transfer Rs.5000 urgently to this number. http://secure-link396.in
spam,Electricity bill overdue Rs.SBI. Pay now or power cut: pay.bill581.in Urgent! Click now or lose access.
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winSBI Urgent! Click now or lose access.
spam,Device infected! Call Microsoft 1800SBI now to fix. http://secure-link324.in
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftAxis (malware risk) Urgent! Click now or lose access.
spam,Amazon delivery failed. Call 1800HDFC or order cancelled. http://secure-link677.in
spam,Your device has virus. Install this app to clean
